smiles,Activity2
CCS(=O)(=O)N1CCN(C(=O)n2sc3c(ccc[n+]3[O-])c2=O)CC1,1.0
CC(=O)N1CCN(C(=O)n2sc3c(ccc[n+]3[O-])c2=O)CC1,1.0
COc1ccc(C(=O)N2CCN(C(=O)n3sc4ncccc4c3=O)CC2)cc1OC,1.0
CC(C)(C)C(NC(=O)C(CCC=CC(N)=O)NC(=O)c1ccncc1C(=O)O)C(=O)N1CC(=O)CC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3C)CC2)cc1,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1CC(Oc2ccccc2)CC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
O=C(c1ccccn1)N1CCN(C(=O)n2sc3c(ccc[n+]3[O-])c2=O)CC1,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCN(c2cc(Cl)ccc2OC)CC1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3)CC2)cn1,1.0
CCOC(=O)C=CCCC(NC(=O)c1cc(C(=O)O)cc([N+](=O)[O-])c1)C(=O)NC(C(=O)N1CC(=O)CC1C(=O)NC(C(=O)NCCC(C)C)C1CCCCC1)C(C)(C)C,1.0
COC(=O)C=CCCC(NC(=O)c1ccncc1C(=O)O)C(=O)NC(C(=O)N1CC(=O)CC1C(=O)NC(C(=O)NC(C(=O)OC)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
NC(=O)C1OC1C(=O)Nc1ccc(CCNS(=O)(=O)c2ccccc2[N+](=O)[O-])cc1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3Cl)CC2)cc1,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1CCC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)NC2CCN(C(=O)OCc3ccccc3)C2)cc1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OC(C)(C)C)CC2)cn1,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1CCCC(C(=O)NC(C(=O)NC(C(N)=O)C2CCCCC2)C2CCCCC2)C1)C(C)(C)C,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCc3ccc(OC)cc3)cc2)CC1,1.0
O=C(CCOc1ccccc1)N1CCN(C(=O)n2sc3ncccc3c2=O)CC1,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3C(F)(F)F)CC2)cc1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OC(C)(C)C)CC2)c(Cl)c1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)C3CC3)CC2)cc1,1.0
